Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.2319,1.2737,1.8782,1.2254,1,4.3674,9.8406,11.8579,7.1511,1.3352,1.0001,0
1952,1.0001,1.742,2.0964,1.0039,1.0243,4.8516,9.478,12.8993,4.9083,0.6355,1.0001,0.4072
1953,2.0222,1.4169,0.306,1.0191,0.7239,4.2007,12.9948,11.1481,5.7748,0.835,0,1.0009
1954,1.4432,1.7893,1.0002,0.1866,0.4877,3.0215,11.2521,11.348,7.3776,2.0929,0,0.3765
1955,2.2321,1.145,1.0001,1.0053,1.0001,4.2544,13.9303,10.7576,6.0339,3.3229,0,1.0009
1956,1.5876,1.3723,1.1494,0.404,1.003,4.9165,11.5032,11.1812,7.5905,3.6387,1.0001,1.2158
1957,1.3242,0.6563,2.2132,1.3965,1.0001,3.5517,11.1656,11.1128,6.3743,1.0961,1.0001,1.0123
1958,1.3308,1.0001,1.8005,1.0666,0.4357,3.0182,11.1342,12.3521,6.2273,2.6938,0.932,1.0009
1959,2.3078,1.0001,0.945,0.9919,2.122,2.2585,10.2295,11.9559,5.1809,3.2206,1.0001,0
1960,1.1356,0,1.3852,1.0058,0.9803,2.8997,12.5268,14.2154,5.5291,2.6932,0,0.6958
1961,1.8983,1.4344,0,0.9687,1.0001,3.6943,10.8213,13.6466,7.3083,2.7653,0.9646,1.0022
1962,1.5132,1.1787,1.1258,1.2049,1.0001,2.5383,11.3248,11.9174,8.9457,0.6017,1.0001,1.3526
1963,1.4886,1.0005,1.5835,1.354,1.4968,3.8295,12.7749,12.5321,8.7194,1.0656,1.0001,1.0009
1964,0.9998,1.0005,1.0002,1.0059,1.4755,2.3719,13.2264,10.2963,7.3986,1.0642,0,1.0009
1965,1.0001,1.006,1.29,1.4604,1.0001,1.7686,10.4735,8.8524,5.1637,2.0962,0.3695,1.0009
1966,1.0395,1.3941,0.2934,0,1.0802,5.5011,8.8223,10.0293,3.4993,1.0001,1.0001,1.1368
1967,1.0001,0.7135,2.0438,1.0059,0.5884,2.7253,10.9906,15.8264,7.0206,1.0001,0.9633,2.5294
1968,1.9929,1.1157,1.0001,1.0103,0.4547,3.1636,10.3771,8.8202,4.3006,1.9135,0,1.0009
1969,1.0306,1.0718,0.9562,1.0455,1.8205,2.2022,14.0286,10.7451,7.1658,0.9996,1.0001,0
1970,1.8597,2.5773,0.7065,0.0936,2.0147,4.2556,10.3189,11.9962,9.0518,1.8841,0.0075,0
1971,1.1423,1.3031,1.0001,1.4115,2.3438,5.4744,10.4216,13.4778,7.1508,3.3082,1.0001,0
1972,1.3845,2.0293,0.8113,1.1946,0.5556,1.8537,7.2993,11.5465,7.1396,2.9794,1.0001,0.5483
1973,1.2038,1.1114,0.9997,0.0785,0.9997,2.3749,12.1047,13.8685,6.7166,3.0245,0.0816,0
1974,1.0001,0.9995,0.5586,0.363,1.0001,2.9686,11.876,9.4145,3.526,1.3993,0.3269,1.0009
1975,1.0941,1.1321,1.2878,1.0059,0.7915,4.9156,11.2672,10.4337,6.8573,1.8954,0,0
1976,1.5836,1.0001,0.8692,1.3328,1.0005,2.3666,9.275,10.6537,7.6968,0.9999,0.8554,0.1638
1977,1.5927,1.1708,0.2061,1.4735,1.0577,4.0485,12.9835,9.4714,6.2379,2.5662,0.6068,1.2354
1978,1.5924,2.55,2.011,1.1553,0.6406,5.0836,8.2237,10.5678,8.0973,1.5143,0.9999,1.1731
1979,1.5599,1.6419,1.0001,1.0059,1.1806,3.8079,9.7998,8.4461,3.3309,0.584,1.0001,1.0009
1980,0.9686,1.0267,1.182,0.662,0.7644,5.345,13.9281,15.2755,7.2174,1.2342,0.5024,1.6863
1981,1.2226,1,1.2511,0.3987,1.0821,4.6221,13.3854,11.3809,6.2515,0.3856,1.0001,1.0009
1982,2.6596,1.256,2.0848,1.2216,1.911,3.0681,9.343,14.1619,7.5159,1.0001,1.0001,1.3248
1983,1.2825,1.0001,0.9996,2.0503,1.9497,3.8759,9.16,10.3818,7.1934,2.3153,0,1.0009
1984,1.7717,1.9508,0.5546,1.5339,0.7881,4.4367,8.6985,10.5973,5.5933,1.3257,0,1.0005
1985,1.2149,0.295,0.2348,1.2679,1,3.155,11.5978,11.1107,7.4914,3.395,0,1.2528
1986,1.0672,2.0039,0.9605,1.009,2.3889,3.6036,10.4882,10.5947,6.3693,1.3584,1.0001,2.2275
1987,1.4335,1.3593,1.0431,0.7478,1.5142,1.0465,7.2674,9.3047,3.6192,2.2647,0,1.0532
1988,1.0789,1.0085,1.5439,1.1356,1.1384,4.6193,10.7231,11.6198,4.812,1.0418,0.3978,1.6834
1989,1.2964,0.9995,1.291,0.7838,1.0585,3.9136,11.2059,8.81,6.2584,1.2106,1.0001,1.6185
1990,0.1198,1.6834,1.0001,1.0138,1.6336,4.2068,12.5319,11.4601,8.5318,1.0005,1.0001,1.0982
1991,1.1085,1.4347,1.025,1.2137,1.3832,2.1368,5.0724,7.5002,5.2751,0.3801,0.7616,2.0235
1992,1.7783,1.1332,0.9258,1.0059,1.2742,2.1016,7.4734,9.3492,6.0718,2.4798,1.0001,0
1993,1.0678,0.0268,1.2684,1.0059,1.6009,3.1991,9.3298,8.5827,8.6381,1.4979,0,0
1994,2.0948,1.7316,1.8705,1.152,1.0001,4.6135,12.1196,11.4076,5.6247,1.005,0.0198,0.1535
1995,1.8989,1.765,1.4424,1.0935,0.9237,2.2904,9.5665,11.3983,7.0892,0.3856,1.0001,1.7986
1996,1.9248,1.3725,0.9365,1.0055,1.0178,4.9319,9.6113,11.5491,6.7488,2.8789,0,0
1997,1.0906,0.775,1.0001,1.1347,1.5309,4.8744,5.4707,9.8772,5.6041,1.7168,1.0001,1.9385
1998,0.9998,1.1484,1.6744,1.1431,1.902,2.5263,10.3773,13.1883,5.8007,1.048,1,0
1999,1.7711,1.5323,0,0,1.229,4.1027,10.631,9.9989,7.138,2.0053,0,1.0009
2000,1.0001,1.2517,0.8731,0.8512,1.1675,3.1336,10.5857,8.808,6.5141,0.3801,0,0
2001,1.0001,1.0001,1.2241,1.2452,1.3969,3.9629,9.3681,9.3984,4.1531,1.8257,1.0001,0.6305
2002,1.6489,1.6323,1.0001,1.005,0.7752,2.5528,6.0103,10.0782,7.3032,2.1275,1.0001,1.0009
